sample	sample_name
SimonsL2_1546C	SimonsL2_1546C
SimonsL2_1763A	SimonsL2_1763A
SimonsL2_1753C	SimonsL2_1753C
SimonsL2_1836T	SimonsL2_1836T
SimonsL2_179A	SimonsL2_179A
SimonsL2_1775GG	SimonsL2_1775GG
SimonsL2_1778A	SimonsL2_1778A
SimonsL2_1764E	SimonsL2_1764E
SimonsL2_1836O	SimonsL2_1836O
SimonsL2_1763H	SimonsL2_1763H
SimonsL2_1765E	SimonsL2_1765E
SimonsL2_1664A	SimonsL2_1664A
SimonsL2_1939B	SimonsL2_1939B
SimonsL2_1900G	SimonsL2_1900G
SimonsL2_1397P	SimonsL2_1397P
SimonsL2_1399B	SimonsL2_1399B
SimonsL2_1669B	SimonsL2_1669B
SimonsL2_1682C2	SimonsL2_1682C2
SimonsL2_1909A	SimonsL2_1909A
SimonsL2_1796E	SimonsL2_1796E
SimonsL2_1909J	SimonsL2_1909J
SimonsL2_1675H	SimonsL2_1675H
SimonsL2_1707C	SimonsL2_1707C
SimonsL2_1281E	SimonsL2_1281E
SimonsL2_1286A	SimonsL2_1286A
SimonsL2_1905C	SimonsL2_1905C
SimonsL2_1799F	SimonsL2_1799F
SimonsL2_1902N	SimonsL2_1902N
SimonsL2_1774N	SimonsL2_1774N
SimonsL2_1774I	SimonsL2_1774I
