sample_id,reads,notes
SimonsL1_1395M,6,
SimonsL1_1397D,6,
SimonsL1_1397E3,8,
SimonsL1_1397R,17,
SimonsL1_1397T,8,
SimonsL1_1399EE,766,
SimonsL1_1404B,4,
SimonsL1_1468A,4,
SimonsL1_1514A9,2504,
SimonsL1_1514W4,2,
SimonsL1_1518B,5550,
SimonsL1_1518E,4,
SimonsL1_1541B3,2557,
SimonsL1_1541H,22,
SimonsL1_1566F,2,
SimonsL1_1575W,38,
SimonsL1_1584B,6,
SimonsL1_1640N2,2,
SimonsL1_1640Q,12,
SimonsL1_1649E,8,
SimonsL1_1657A,8,
SimonsL1_165B,77,
SimonsL1_1660I,4092,
SimonsL1_1675J,8,
SimonsL1_1683O,6,
SimonsL1_1684A,4168,
SimonsL1_1695I,6220,
SimonsL1_1755A,3559,
SimonsL1_1755J,10,
SimonsL1_1759F,51,
SimonsL1_1760C,22,
SimonsL1_1761A,11,
SimonsL1_1774NN,14,
SimonsL1_1775FF,10,
SimonsL1_1775T,5186,
SimonsL1_177A,5,
SimonsL1_1785C,18,
SimonsL1_1790E,1139,
SimonsL1_1791D,5,
SimonsL1_1795A,9,
SimonsL1_1798C,8,
SimonsL1_1798F,1645,
SimonsL1_1799H,37,
SimonsL1_1825A,1,
SimonsL1_1833F,49,
SimonsL1_1836L,6,
SimonsL1_1840C,9,
SimonsL1_1840K,3268,
SimonsL1_1871J,1229,
SimonsL1_1873C,8522,
SimonsL1_1900B,13,
SimonsL1_1902Y,10,
SimonsL1_1904F,1,
SimonsL1_1905I,9519,
SimonsL1_1905V,8503,
SimonsL1_1907G,13,
SimonsL1_190A,1,
SimonsL1_1917A,3708,
SimonsL1_1932A,1,Removed from Further Analyses
SimonsL1_1935A,1,
SimonsL1_1942C,3355,
SimonsL1_200A,2,
SimonsL1_527A,5,
SimonsL1_536A,16308,
SimonsL1_828A,5678,
SimonsL1_831A,36259,
SimonsL1_831H,10159,
SimonsL1_834J,3789,
SimonsL1_943A,2189,
SimonsL2_1258X,1752,
SimonsL2_1286A,1,
SimonsL2_1399B,38,
SimonsL2_1399S,4515,
SimonsL2_1406T,4927,
SimonsL2_1419K,12,
SimonsL2_1435A,1,
SimonsL2_1514E2,11,
SimonsL2_1546C,4,
SimonsL2_1546P,7147,
SimonsL2_1546Q,19,
SimonsL2_1549B,4026,
SimonsL2_1575I,1,Removed from Further Analyses
SimonsL2_1577G,19,
SimonsL2_1582A,3016,
SimonsL2_1582Y,9,
SimonsL2_1590C,60,
SimonsL2_1624A,19,
